fdc_id,data_type,description,food_category_id,publication_date,id,food_nutrient_conversion_factor_id,protein_value,fat_value,carbohydrate_value
326905,foundation_food,"Figs, dried, uncooked",9.0,2019-04-01,22568.0,22568.0,3.36,8.37,3.6
327046,foundation_food,"Kiwifruit, green, raw",9.0,2019-04-01,22570.0,22570.0,3.36,8.37,3.6
327198,foundation_food,"Melons, cantaloupe, raw",9.0,2019-04-01,22572.0,22572.0,3.36,8.37,3.6
327357,foundation_food,"Nectarines, raw",9.0,2019-04-01,22574.0,22574.0,3.36,8.37,3.6
327501,foundation_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",9.0,2019-04-01,22576.0,22576.0,3.36,8.37,3.6
327699,foundation_food,"Strawberries, raw",9.0,2019-04-01,22578.0,22578.0,3.36,8.37,3.6
327923,foundation_food,"Lettuce, cos or romaine, raw",11.0,2019-04-01,22580.0,22580.0,2.44,8.37,3.57
328637,foundation_food,"Cheese, cheddar",1.0,2019-04-01,22582.0,22582.0,4.27,8.79,3.87
328841,foundation_food,"Cheese, cottage, lowfat, 2% milkfat",1.0,2019-04-01,22584.0,22584.0,4.27,8.79,3.87
329370,foundation_food,"Cheese, mozzarella, low moisture, part-skim",1.0,2019-04-01,22586.0,22586.0,4.27,8.79,3.87
329490,foundation_food,"Egg, whole, dried",1.0,2019-04-01,22588.0,22588.0,4.36,9.02,3.68
329596,foundation_food,"Egg, yolk, raw, frozen, pasteurized",1.0,2019-04-01,22590.0,22590.0,4.36,9.02,3.68
329716,foundation_food,"Egg, yolk, dried",1.0,2019-04-01,22592.0,22592.0,4.36,9.02,3.68
329830,foundation_food,"Cheese, dry white, queso seco",1.0,2019-04-01,22594.0,22594.0,4.27,8.79,3.87
330137,foundation_food,"Yogurt, Greek, plain, nonfat",1.0,2019-04-01,22596.0,22596.0,4.27,8.79,3.87
330415,foundation_food,"Yogurt, Greek, strawberry, nonfat",1.0,2019-04-01,22598.0,22598.0,4.27,8.79,3.87
330458,foundation_food,"Oil, coconut",4.0,2019-04-01,22600.0,22600.0,3.47,8.37,4.07
330869,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",5.0,2019-04-01,22602.0,22602.0,4.27,9.02,3.87
331897,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",5.0,2019-04-01,22604.0,22604.0,4.27,9.02,3.87
331960,foundation_food,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",5.0,2019-04-01,22606.0,22606.0,4.27,9.02,3.87
332282,foundation_food,"Sauce, pasta, spaghetti/marinara, ready-to-serve",6.0,2019-04-01,22608.0,22608.0,2.44,8.37,3.57
332397,foundation_food,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",7.0,2019-04-01,22610.0,22610.0,4.27,9.02,3.87
332597,foundation_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9.0,2019-04-01,22612.0,22612.0,3.36,8.37,3.6
332791,foundation_food,"Olives, green, Manzanilla, stuffed with pimiento",9.0,2019-04-01,22614.0,22614.0,3.36,8.37,3.6
332864,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",7.0,2019-04-01,22616.0,22616.0,4.27,9.02,3.87
333008,foundation_food,"Cookies, oatmeal, soft, with raisins",18.0,2019-04-01,22618.0,22618.0,4.0,9.0,4.0
333281,foundation_food,"Tomatoes, canned, red, ripe, diced",11.0,2019-04-01,22620.0,22620.0,2.44,8.37,3.57
333374,foundation_food,"Fish, haddock, raw",15.0,2019-04-01,22622.0,22622.0,4.27,9.02,3.87
333476,foundation_food,"Fish, pollock, raw",15.0,2019-04-01,22624.0,22624.0,4.27,9.02,3.87
334194,foundation_food,"Fish, tuna, light, canned in water, drained solids",15.0,2019-04-01,22626.0,22626.0,4.27,9.02,3.87
334247,foundation_food,"Sugars, granulated",19.0,2019-04-01,22628.0,22628.0,0.0,0.0,3.87
334462,foundation_food,"Restaurant, Chinese, sweet and sour pork",25.0,2019-04-01,22631.0,22631.0,4.0,9.0,4.0
334536,foundation_food,"Restaurant, Chinese, fried rice, without meat",25.0,2019-04-01,22632.0,22632.0,4.0,9.0,4.0
334628,foundation_food,"Restaurant, Latino, tamale, pork",25.0,2019-04-01,22634.0,22634.0,4.0,9.0,4.0
334720,foundation_food,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25.0,2019-04-01,22636.0,22636.0,4.0,9.0,4.0
334849,foundation_food,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",13.0,2019-04-01,22638.0,22638.0,4.27,9.02,3.87
334897,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",13.0,2019-04-01,22640.0,22640.0,4.27,9.02,3.87
334898,foundation_food,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",13.0,2019-04-01,22642.0,22642.0,4.27,9.02,3.87
334963,foundation_food,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",13.0,2019-04-01,22644.0,22644.0,4.27,9.02,3.87
335061,foundation_food,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",13.0,2019-04-01,22646.0,22646.0,4.27,9.02,3.87
335109,foundation_food,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",13.0,2019-04-01,22648.0,22648.0,4.27,9.02,3.87
335240,foundation_food,"Bread, whole-wheat, commercially prepared",18.0,2019-04-01,22650.0,22650.0,4.0,9.0,4.0
746758,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",13.0,2019-12-16,22653.0,22653.0,4.27,9.02,3.87
746759,foundation_food,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",13.0,2019-12-16,22655.0,22655.0,4.27,9.02,3.87
746760,foundation_food,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",13.0,2019-12-16,22657.0,22657.0,4.27,9.02,3.87
746761,foundation_food,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",13.0,2019-12-16,22659.0,22659.0,4.27,9.02,3.87
746762,foundation_food,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",13.0,2019-12-16,22661.0,22661.0,4.27,9.02,3.87
746763,foundation_food,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",13.0,2019-12-16,22663.0,22663.0,4.27,9.02,3.87
746764,foundation_food,"Carrots, frozen, unprepared",11.0,2019-12-16,22665.0,22665.0,2.78,8.37,3.84
746765,foundation_food,"Cheese, dry white, queso seco",1.0,2019-12-16,22667.0,22667.0,4.27,8.79,3.87
746766,foundation_food,"Cheese, ricotta, whole milk",1.0,2019-12-16,22669.0,22669.0,4.27,8.79,3.87
746767,foundation_food,"Cheese, swiss",1.0,2019-12-16,22671.0,22671.0,4.27,8.79,3.87
746768,foundation_food,"Figs, dried, uncooked",9.0,2019-12-16,22673.0,22673.0,3.36,8.37,3.6
746769,foundation_food,"Lettuce, cos or romaine, raw",11.0,2019-12-16,22675.0,22675.0,2.44,8.37,3.57
746770,foundation_food,"Melons, cantaloupe, raw",9.0,2019-12-16,22677.0,22677.0,3.36,8.37,3.6
746771,foundation_food,"Oranges, raw, navels",9.0,2019-12-16,22679.0,22679.0,3.36,8.37,3.6
746772,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,2019-12-16,22681.0,22681.0,4.27,8.79,3.87
746773,foundation_food,"Pears, raw, bartlett",9.0,2019-12-16,22683.0,22683.0,3.36,8.37,3.6
746774,foundation_food,"Restaurant, Chinese, sweet and sour pork",25.0,2019-12-16,22686.0,22686.0,4.0,9.0,4.0
746776,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,2019-12-16,22688.0,22688.0,4.27,8.79,3.87
746777,foundation_food,"Sauce, salsa, ready-to-serve",6.0,2019-12-16,22690.0,22690.0,2.44,8.87,3.57
746778,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,2019-12-16,22692.0,22692.0,4.27,8.79,3.87
746779,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,2019-12-16,22694.0,22694.0,4.27,9.02,3.87
746780,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried",7.0,2019-12-16,22696.0,22696.0,4.27,9.02,3.87
746781,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",7.0,2019-12-16,22698.0,22698.0,4.27,9.02,3.87
746782,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,2019-12-16,22700.0,22700.0,4.27,8.79,3.87
746783,foundation_food,"Sausage, turkey, breakfast links, mild, raw",7.0,2019-12-16,22702.0,22702.0,4.27,9.02,3.87
746784,foundation_food,"Sugars, granulated",19.0,2019-12-16,22704.0,22704.0,0.0,0.0,3.87
746785,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",5.0,2019-12-16,22706.0,22706.0,4.27,9.02,3.87
746952,foundation_food,"Ham, sliced, restaurant",10.0,2019-12-16,22721.0,22721.0,4.27,9.02,3.87
747429,foundation_food,"Cheese, American, restaurant",1.0,2019-12-16,22722.0,22722.0,4.27,8.79,3.87
747447,foundation_food,"Broccoli, raw",11.0,2019-12-16,22709.0,22709.0,2.44,8.37,3.57
747448,foundation_food,"Strawberries, raw",9.0,2019-12-16,22711.0,22711.0,3.36,8.37,3.6
747693,foundation_food,"Ketchup, restaurant",11.0,2019-12-16,22723.0,22723.0,2.44,8.37,3.57
747997,foundation_food,"Eggs, Grade A, Large, egg white",1.0,2019-12-16,22713.0,22713.0,4.36,9.02,3.68
748236,foundation_food,"Eggs, Grade A, Large, egg yolk",1.0,2019-12-16,22715.0,22715.0,4.36,9.02,3.68
